symbol,name,segment
AAK.ST,AAK AB,Large Cap
ABB.ST,ABB Ltd,Large Cap
ADDT-B.ST,Addtech AB ser. B,Large Cap
AFRY.ST,AFRY AB,Large Cap
ALFA.ST,Alfa Laval AB,Large Cap
ALLEI.ST,Alleima AB,Large Cap
ALIV-SDB.ST,Autoliv Inc. SDB,Large Cap
ARJO-B.ST,Arjo AB ser. B,Large Cap
ASSA-B.ST,ASSA ABLOY AB ser. B,Large Cap
ATCO-A.ST,Atlas Copco AB ser. A,Large Cap
ATCO-B.ST,Atlas Copco AB ser. B,Large Cap
ATRLJ-B.ST,Atrium Ljungberg AB ser. B,Large Cap
AXFO.ST,Axfood AB,Large Cap
AZA.ST,Avanza Bank Holding AB,Large Cap
AZN.ST,AstraZeneca PLC,Large Cap
BALD-B.ST,Fastighets AB Balder ser. B,Large Cap
BEIJ-B.ST,Beijer Ref AB ser. B,Large Cap
BILL.ST,Billerud AB,Large Cap
BOL.ST,Boliden AB,Large Cap
CAST.ST,Castellum AB,Large Cap
DOM.ST,Dometic Group AB,Large Cap
EKTA-B.ST,Elekta AB ser. B,Large Cap
ELUX-B.ST,AB Electrolux ser. B,Large Cap
EMBRAC-B.ST,Embracer Group AB ser. B,Large Cap
EPI-A.ST,Epiroc AB ser. A,Large Cap
EPI-B.ST,Epiroc AB ser. B,Large Cap
ERIC-B.ST,Telefonaktiebolaget LM Ericsson ser. B,Large Cap
ESSITY-A.ST,Essity AB ser. A,Large Cap
ESSITY-B.ST,Essity AB ser. B,Large Cap
EQT.ST,EQT AB,Large Cap
EVO.ST,Evolution AB,Large Cap
FABG.ST,Fabege AB,Large Cap
GETI-B.ST,Getinge AB ser. B,Large Cap
HEXA-B.ST,Hexagon AB ser. B,Large Cap
HM-B.ST,Hennes & Mauritz AB ser. B,Large Cap
HOLM-B.ST,Holmen AB ser. B,Large Cap
HUFV-A.ST,Hufvudstaden AB ser. A,Large Cap
HUSQ-B.ST,Husqvarna AB ser. B,Large Cap
INDU-A.ST,Industrivärden AB ser. A,Large Cap
INDU-C.ST,Industrivärden AB ser. C,Large Cap
INDT.ST,Indutrade AB,Large Cap
INVE-A.ST,Investor AB ser. A,Large Cap
INVE-B.ST,Investor AB ser. B,Large Cap
KINV-B.ST,Kinnevik AB ser. B,Large Cap
KIND-SDB.ST,Kindred Group plc SDB,Large Cap
LATO-B.ST,Investment AB Latour ser. B,Large Cap
LIFCO-B.ST,Lifco AB ser. B,Large Cap
LOOMIS.ST,Loomis AB,Large Cap
LUMI.ST,Lundin Mining Corp.,Large Cap
LUND-B.ST,L E Lundbergföretagen AB ser. B,Large Cap
MCOV-B.ST,Medicover AB ser. B,Large Cap
NCC-B.ST,NCC AB ser. B,Large Cap
NDA-SE.ST,Nordea Bank Abp,Large Cap
NIBE-B.ST,NIBE Industrier AB ser. B,Large Cap
NN-B.ST,Nordnet AB ser. B,Large Cap
PEAB-B.ST,Peab AB ser. B,Large Cap
SAGA-B.ST,AB Sagax ser. B,Large Cap
SAGA-D.ST,AB Sagax ser. D,Large Cap
SBB-B.ST,Samhällsbyggnadsbolaget i Norden AB ser. B,Large Cap
SAAB-B.ST,Saab AB ser. B,Large Cap
SAND.ST,Sandvik AB,Large Cap
SCA-B.ST,Svenska Cellulosa SCA AB ser. B,Large Cap
SEB-A.ST,Skandinaviska Enskilda Banken ser. A,Large Cap
SECU-B.ST,Securitas AB ser. B,Large Cap
SHB-A.ST,Svenska Handelsbanken ser. A,Large Cap
SINCH.ST,Sinch AB,Large Cap
SKF-B.ST,SKF AB ser. B,Large Cap
SKA-B.ST,Skanska AB ser. B,Large Cap
SOBI.ST,Swedish Orphan Biovitrum AB,Large Cap
SSAB-A.ST,SSAB AB ser. A,Large Cap
SSAB-B.ST,SSAB AB ser. B,Large Cap
SWED-A.ST,Swedbank AB ser. A,Large Cap
